date,ticker,d2c,shorts,volume
2021-06-15,GME,1.0,9670734,11563428
2021-06-30,GME,1.56,8224618,5256753
2021-07-15,GME,2.78,8075454,2903947
2021-07-30,GME,3.38,7664869,2270693
2021-08-13,GME,2.5,7573914,3029440
2021-08-31,GME,1.81,7796968,4313674
2021-09-15,GME,2.05,7375940,3598836
2021-09-30,GME,3.13,7820947,2502466
2021-10-15,GME,5.29,7672089,1451392
2021-10-29,GME,3.56,7060752,1985671
2021-11-15,GME,2.22,6775394,3054295
2021-11-30,GME,3.26,6421977,1972550
2021-12-15,GME,2.38,8611843,3611552
2021-12-31,GME,4.7,8449995,1798277
2022-01-14,GME,2.31,9377532,4058237
2022-01-31,GME,2.5,10998384,4406441
2022-02-15,GME,4.02,11943772,2972597
2022-02-28,GME,6.9,11713653,1698488
2022-03-15,GME,5.82,12345458,2120654
2022-03-31,GME,1.08,12249471,11318231
2022-04-14,GME,3.43,14128064,4123456
2022-04-29,GME,8.12,13540994,1668138
2022-05-13,GME,4.06,15123772,3723329
2022-05-31,GME,3.12,15537841,4982613
2022-06-15,GME,3.5,14511385,4145012
2022-06-30,GME,5.53,13301379,2407151
2022-07-15,GME,4.41,14905476,3378234
2022-07-29,GME,7.81,59908446,7672095
2022-08-15,GME,7.96,53245515,6687641
2022-08-31,GME,6.55,49593249,7571276
2022-09-15,GME,7.25,49525156,6831517
2022-09-30,GME,13.76,51092394,3714374
2022-10-14,GME,16.53,53883909,3260389
2022-10-31,GME,8.34,53372724,6399185
2022-11-15,GME,11.32,54655571,4828453
2022-11-30,GME,18.98,54620238,2877559
2022-12-15,GME,8.4,54707097,6511642
2022-12-30,GME,13.01,58411815,4488808
2023-01-13,GME,11.39,60337728,5296325
2023-01-31,GME,11.43,57882022,5063509
2023-02-15,GME,10.99,57289638,5213661
2023-02-28,GME,18.55,56850983,3064416
2023-03-15,GME,18.99,58505711,3080681
2023-03-31,GME,4.93,56723649,11504931
2023-04-14,GME,20.34,56072019,2757166
2023-04-28,GME,23.01,57709747,2508441
2023-05-15,GME,24.08,57320808,2380357
2023-05-31,GME,16.21,55841413,3444084
2023-06-15,GME,6.07,55155121,9085204
2023-06-30,GME,18.46,52281039,2832327
2023-07-14,GME,22.01,51660779,2347478
2023-07-31,GME,21.21,50478950,2379949
2023-08-15,GME,24.16,51203657,2119414
2023-08-31,GME,17.09,51250434,2999209
2023-09-15,GME,12.63,53950371,4272009
2023-09-29,GME,18.12,55894055,3084825
2023-10-13,GME,19.58,58558450,2990283
2023-10-31,GME,17.16,59938352,3493866
2023-11-15,GME,18.31,60673347,3312791
2023-11-30,GME,5.67,63590274,11206851
2023-12-15,GME,5.44,62664063,11523582
2023-12-29,GME,13.22,61174273,4627616
2024-01-12,GME,18.84,60104977,3190257
2024-01-31,GME,20.68,59673027,2885946
2024-02-15,GME,21.11,60191632,2851250
2024-02-29,GME,24.62,60479692,2456534
2024-03-15,GME,18.23,59554103,3266095
2024-03-28,GME,8.09,65688393,8123131
2024-04-15,GME,12.73,59954492,4708722
2024-04-30,GME,17.36,64373343,3708218
2024-05-15,GME,1.03,68391054,66664695
2024-05-31,GME,1.0,46538235,52050019
2024-06-14,GME,1.0,44729815,139302192
2024-06-28,GME,1.2,41953496,35026105
